ID,FILTER
1596,0.62
1597,0.62
1598,0.58
1599,0.60
1600,0.55
1601,0.61
1602,0.34
1603,0.32
1604,0.39
1605,0.42
1606,0.40
1607,0.37
1608,0.36
1610,0.69
1611,0.64
1613,0.65
1614,0.63
1615,0.59
1616,0.58
1617,0.59
1618,0.65
1619,0.48
1620,0.55
1621,0.50
1622,0.65
1623,0.40
1624,0.52
1625,0.51
1626,0.51
1627,0.67
1628,0.51
1629,0.62
1630,0.52
1631,0.46
1632,0.44
1633,0.41
1634,0.42
1635,0.67
1636,0.48
1637,0.57
1638,0.51
1639,0.57
1640,0.42
1641,0.60
1642,0.47
1643,0.35
1644,0.31
1645,0.61
1646,0.57
1647,0.59
1648,0.54
1649,0.49
1650,0.59
1651,0.55
1652,0.59
1653,0.46
1654,0.54
1655,0.55
1656,0.55
1657,0.56
1658,0.51
1659,0.59
1660,0.54
1661,0.66
1662,0.59
1663,0.56
1664,0.53
1665,0.64
1666,0.64
1667,0.39
1668,0.44
1669,0.51
1670,0.51
1671,0.66
1672,0.52
1673,0.58
1674,0.50
1675,0.49
1676,0.52
1677,0.60
1678,0.59
1679,0.50
1680,0.51
1681,0.49
1682,0.56
1683,0.52
1684,0.62
1685,0.65
1686,0.65
1687,0.69
1688,0.66
1689,0.63
1690,0.71
1691,0.53
1692,0.54
1693,0.51
1694,0.66
1695,0.66
1696,0.49
1697,0.51
1698,0.67
1699,0.50
1700,0.60
1701,0.56
1702,0.52
1703,0.32
1704,0.30
1705,0.33
1706,0.32
1707,0.36
1708,0.33
1709,0.45
1710,0.43
1711,0.47
1712,0.47
1713,0.40
1714,0.43
1715,0.43
1716,0.48
1717,0.49
1718,0.45
1719,0.39
1720,0.59
1721,0.19
1722,0.49
1723,0.52
1724,0.32
1725,0.57
1726,0.65
1727,0.71
1728,0.62
1729,0.55
1730,0.62
1731,0.65
1732,0.59
1733,0.63
1734,0.43
1735,0.60
1736,0.46
1737,0.48
1738,0.60
1739,0.42
1740,0.48
1741,0.54
1742,0.55
1743,0.57
1744,0.50
1745,0.44
1746,0.52
1747,0.53
1748,0.53
1749,0.60
1750,0.54
1751,0.50
1752,0.37
1753,0.41
1754,0.40
1755,0.46
1756,0.48
1757,0.56
1758,0.52
1759,0.56
1760,0.41
1761,0.47
1762,0.49
1763,0.38
1764,0.40
1765,0.68
1766,0.56
1767,0.58
1768,0.59
1769,0.59
1770,0.56
1771,0.62
1772,0.58
1773,0.62
1774,0.61
1775,0.54
1776,0.54
1777,0.54
1778,0.55
1779,0.54
1780,0.64
1781,0.52
1782,0.60
1783,0.63
1784,0.68
1785,0.59
1786,0.60
1787,0.53
1788,0.61
1789,0.60
1790,0.59
1791,0.57
1792,0.55
1793,0.57
1794,0.63
1795,0.62
1796,0.61
1797,0.58
1798,0.63
1799,0.59
1800,0.58
1801,0.60
1802,0.69
1803,0.65
1804,0.60
1805,0.60
1806,0.59
1807,0.63
1808,0.63
1809,0.60
1810,0.62
1811,0.65
1812,0.56
1813,0.59
1814,0.59
1815,0.60
1816,0.67
1817,0.68
1818,0.66
1819,0.61
1820,0.63
1821,0.63
1822,0.68
1823,0.60
1824,0.60
1825,0.57
1826,0.62
1827,0.59
1828,0.60
1829,0.65
1830,0.60
1831,0.64
1832,0.62
1833,0.60
1834,0.66
1835,0.63
1836,0.64
1837,0.66
1838,0.64
1839,0.61
1840,0.62
1841,0.62
1842,0.64
1843,0.69
1844,0.57
1845,0.46
1846,0.47
1847,0.59
1848,0.66
1849,0.67
1850,0.40
1851,0.45
1852,0.37
1853,0.36
1854,0.59
1855,0.48
1856,0.29
1857,0.57
1858,0.61
1859,0.40
1860,0.38
1861,0.61
1862,0.42
1863,0.53
1864,0.43
1865,0.60
1866,0.43
1867,0.44
1868,0.52
1869,0.57
1870,0.49
1871,0.47
1872,0.57
1873,0.59
1874,0.65
1875,0.66
1876,0.64
1877,0.64
1878,0.65
1879,0.64
1880,0.62
1881,0.62
1882,0.37
1883,0.62
1884,0.69
1885,0.38
1886,0.39
1887,0.27
1888,0.48
1889,0.72
1890,0.63
1891,0.60
1892,0.45
1893,0.42
1894,0.36
1895,0.63
1896,0.47
1897,0.50
1898,0.57
1899,0.36
1900,0.54
1901,0.44
1902,0.45
1903,0.55
1904,0.48
1905,0.32
1906,0.54
1907,0.57
1908,0.59
1909,0.57
1910,0.43
1911,0.53
1912,0.58
1913,0.66
1914,0.73
1915,0.49
1916,0.54
1917,0.61
1918,0.59
1919,0.58
1920,0.63
1921,0.59
1922,0.57
1923,0.62
1924,0.61
1925,0.65
1926,0.57
1927,0.67
1928,0.53
1929,0.56
1930,0.55
1931,0.60
1932,0.60
1933,0.56
1934,0.41
1935,0.64
1936,0.48
1937,0.41
1938,0.40
1939,0.47
1940,0.43
1941,0.62
1942,0.55
1943,0.40
1944,0.67
1945,0.66
1946,0.50
1947,0.56
1948,0.64
1949,0.59
1950,0.56
1951,0.58
1952,0.56
1953,0.58
1954,0.59
1955,0.68
1956,0.52
1957,0.58
1958,0.63
1959,0.53
1960,
1961,0.45
1962,0.46
1963,0.42
1964,0.48
1965,0.45
1966,0.43
1967,0.53
1968,0.46
1969,0.20
1970,0.50
1971,0.41
1972,0.38
1973,0.44
1974,0.44
1975,0.55
1976,0.40
1977,0.59
1978,0.62
1979,0.67
1980,0.63
1981,0.55
1982,0.63
1983,0.64
1984,0.76
1985,0.68
1986,0.58
1987,0.63
1988,0.49
1989,
1990,0.39
1991,0.37
1992,0.65
1993,0.40
1994,0.39
1995,0.37
1996,0.63
1997,0.48
1998,0.49
1999,0.53
2000,0.60
2001,0.38
2002,0.51
2003,0.65
2004,0.62
2005,0.56
2006,0.59
2007,0.61
2008,0.68
2009,0.51
2010,0.50
2011,0.59
2012,0.63
2013,0.61
2014,0.59
2015,0.53
2016,0.43
2017,0.57
2018,0.49
2019,0.73
2020,
2021,0.61
2022,0.55
2023,0.56
2024,0.55
2025,0.47
2026,0.59
2027,0.58
2028,0.58
2029,0.61
2030,0.52
2031,0.68
2032,0.63
2033,0.73
2034,0.59
2035,0.55
2036,0.57
2037,0.52
2038,0.43
2039,
2040,0.56
2041,0.62
2042,0.62
2043,0.58
2044,0.63
2045,0.50
2046,0.47
2047,0.49
2048,0.45
2049,0.55
2050,0.46
2051,0.51
2052,0.44
2053,0.45
2054,0.42
2055,0.54
2056,0.49
2057,0.51
2058,0.51
2059,0.45
2060,0.47
2061,0.50
2062,0.32
2063,0.53
2064,0.47
2065,0.48
2066,0.53
2067,0.43
2068,0.48
2069,0.48
2070,0.39
2071,0.45
2072,0.27
2073,0.62
2074,0.58
2075,0.38
2076,0.46
2077,0.47
2078,0.45
2079,0.43
2080,0.36
2081,0.57
2082,0.59
2083,0.51
2084,0.56
2085,0.63
2086,0.65
2087,0.22
2088,0.53
2089,0.49
2090,0.50
2091,0.51
2092,0.48
2093,0.44
2094,0.48
2095,0.50
2096,0.55
2097,0.44
2098,0.44
2099,0.44
2100,0.41
2101,0.47
2102,0.43
2103,0.48
2104,0.54
2105,0.50
2106,0.49
2107,0.45
2108,0.52
2109,0.48
2110,0.48
2111,0.49
2112,0.43
2113,0.55
2114,0.57
2115,0.45
2116,0.41
2117,0.61
2118,0.40
2119,0.39
2120,0.41
2121,0.40
2122,0.43
2123,0.44
2124,0.45
2125,0.47
2126,0.38
2127,0.53
2128,0.62
2129,0.54
2130,0.50
2131,0.65
2132,0.56
2133,0.63
2134,0.41
2135,0.44
2136,0.49
2137,0.46
2138,0.62
2139,0.48
2140,0.65
2141,0.33
2142,0.30
2143,0.42
2144,0.42
2145,0.70
2146,0.32
2147,0.31
2148,0.61
2149,0.48
2150,0.50
2151,0.62
2152,0.46
2153,0.46
2154,0.54
2155,0.45
2156,0.42
2157,0.39
2158,0.53
2159,0.43
2160,0.47
2161,0.47
2162,
2163,0.58
2164,0.24
2165,0.21
2166,0.19
2167,0.20
2168,0.50
2169,0.59
2170,0.40
2171,0.34
2172,0.57
2173,0.56
2174,0.49
2175,0.56
2176,0.46
2177,0.43
2178,0.64
2179,0.45
2180,0.43
2181,0.48
2182,0.77
2183,0.46
2184,0.48
2185,0.41
2186,0.51
2187,0.42
2188,0.41
2189,0.71
2190,0.45
2191,0.65
2192,0.48
2193,0.58
2194,0.46
2195,0.59
2196,0.41
2197,0.42
2198,0.59
2199,0.54
2200,0.40
2201,0.44
2202,0.58
2203,0.46
2204,0.53
2205,0.63
2206,0.54
2207,0.53
2208,0.51
2209,0.51
2210,0.63
2211,0.55
2212,0.58
2213,0.59
2214,0.59
2215,0.51
2216,0.55
2217,0.33
2218,0.54
2219,0.41
2220,0.43
2221,0.30
2222,0.67
2223,0.48
2224,0.46
2225,0.36
2226,0.37
2227,0.43
2228,0.43
2229,0.60
2230,0.55
2231,0.34
2232,0.45
2233,0.42
2234,
2235,
2236,0.38
2237,0.43
2238,0.52
2239,0.45
2240,0.48
2241,0.35
2242,0.32
2243,0.37
2244,0.49
2245,0.39
2246,0.50
2247,0.35
2248,0.36
2249,0.47
2250,0.35
2251,0.36
2252,0.43
2253,0.42
2254,0.31
2255,0.38
2256,0.34
2257,0.45
2258,0.46
2259,0.35
2260,0.47
2261,0.36
2262,0.43
2263,0.40
2264,0.40
2265,0.43
2266,0.33
2267,0.41
2268,0.43
2269,0.43
2270,0.44
2271,0.41
2272,0.37
2273,0.37
2274,0.40
2275,0.41
2276,0.39
2277,0.47
2278,0.47
2279,0.46
2280,0.42
2281,0.38
2282,0.44
2283,0.40
2284,0.37
2285,0.38
2286,0.41
2287,0.46
2288,0.43
2289,0.41
2290,0.38
2291,0.39
2292,0.36
2293,0.37
2294,0.46
2295,0.42
2296,0.43
2297,0.43
2298,0.41
2299,0.43
2300,0.36
2301,0.35
2302,0.40
2303,0.40
2304,0.39
2305,0.38
2306,0.41
2307,0.46
2308,0.44
2309,0.50
2310,0.54
2311,0.59
2312,0.41
2313,0.43
2314,0.40
2315,0.42
2316,0.44
2317,0.39
2318,0.39
2319,0.39
2320,0.42
2321,0.50
2322,0.50
2323,0.40
2324,0.45
2325,0.37
2326,0.39
2327,0.40
2328,0.51
2329,0.40
2330,0.39
2331,0.36
2332,0.67
2333,0.65
2334,0.45
2335,0.43
2336,0.35
2337,0.38
2338,0.38
2339,0.65
2340,0.77
2341,0.62
2342,0.65
2343,0.60
2344,0.67
2345,0.36
2346,0.68
2347,0.60
2348,0.67
2349,0.72
2350,0.61
2351,0.62
2352,0.67
2353,0.65
2354,0.56
2355,0.51
2356,0.60
2357,0.68
2358,0.66
2359,0.61
2360,0.69
2361,0.59
2362,0.52
2363,0.49
2364,0.68
2365,0.60
2366,0.57
2367,0.69
2368,0.55
2369,0.59
2370,0.58
2371,0.70
2372,0.67
2373,0.65
2374,0.53
2375,0.72
2376,0.53
2377,0.73
2378,0.68
2379,0.80
2380,0.80
2381,0.77
2382,0.75
2383,0.75
2384,0.76
2385,0.44
2386,0.48
2387,0.40
2388,0.43
2389,0.60
2390,0.61
2391,0.58
2392,0.52
2393,0.53
2394,0.68
2395,0.56
2396,0.58
2397,0.62
2398,0.65
2399,0.58
2400,0.48
2401,0.67
2402,0.65
2403,0.57
2404,0.71
2405,0.55
2406,0.54
2407,0.66
2408,0.67
2409,0.70
2410,0.67
2411,0.48
2412,0.53
2413,0.50
2414,0.49
2415,0.63
2416,0.63
2417,0.63
2418,0.67
2419,0.72
2420,0.71
2421,0.64
2422,0.70
2423,0.70
2424,0.76
2425,0.75
2426,0.75
2427,0.65
2428,0.66
2429,0.62
2430,0.71
2431,0.62
2432,0.65
2433,0.66
2434,0.63
2435,0.63
2436,0.60
2437,0.64
2438,0.69
2439,0.68
2440,0.67
2441,0.64
2442,0.65
2443,0.62
2444,0.69
2445,0.68
2446,0.71
2447,0.55
2448,0.53
2449,0.53
2450,0.60
2451,0.59
2452,0.61
2453,0.53
2454,0.61
2455,0.60
2456,0.61
2457,0.67
2458,0.63
2459,0.50
2460,0.62
2461,0.62
2462,0.60
2463,0.61
2464,0.64
2465,0.58
2466,0.64
2467,0.68
2468,0.57
2469,0.61
2470,0.60
2471,0.57
2472,0.61
2473,0.69
2474,0.64
2475,0.68
2476,0.70
2477,0.60
2478,0.64
2479,0.34
2480,0.42
2481,0.27
2482,0.29
2483,0.31
2484,0.26
2485,0.36
2486,0.41
2487,0.14
2488,0.20
2489,0.31
2490,0.26
2491,0.26
2492,0.36
2493,0.39
2494,0.41
2495,0.41
2496,0.34
2497,0.27
2498,0.30
2499,0.17
2500,0.12
2501,0.26
2502,0.57
2503,0.53
2504,0.51
2505,0.51
2506,0.49
2507,0.49
2508,
2509,0.45
2510,0.19
2511,0.67
2512,0.75
2513,0.51
2514,0.35
2515,0.43
2516,0.41
2517,0.40
2518,0.34
2519,0.48
2520,0.41
2521,0.39
2522,0.38
2523,0.36
2524,0.41
2525,0.31
2526,0.37
2527,0.39
2528,0.34
2529,0.37
2530,0.47
2531,0.39
2532,0.35
2533,0.30
2534,0.32
2535,0.48
2536,0.37
2537,0.34
2538,0.37
2539,0.43
2540,0.36
2541,0.34
2542,0.33
2543,0.35
2544,0.48
2545,0.40
2546,0.33
2547,0.35
2548,0.35
2549,0.39
2550,0.38
2551,0.30
2552,0.46
2553,0.45
2554,0.38
2555,0.37
2556,0.34
2557,0.37
2558,0.41
2559,0.40
2560,0.77
2561,0.47
2562,0.45
2563,0.34
2564,0.42
2565,0.49
2566,0.49
2567,0.47
2568,0.58
2569,0.42
2570,0.40
2571,0.24
2572,0.58
2573,0.47
2574,0.55
2575,0.59
2576,0.53
2577,0.55
2578,0.51
2579,0.44
2580,0.36
2581,0.40
2582,0.48
2583,0.41
2584,0.70
2585,0.68
2586,0.64
2587,0.69
2588,0.69
2589,0.73
2590,0.58
2591,0.58
2592,0.52
2593,0.56
2594,0.61
2595,0.53
2596,0.60
2597,0.55
2598,0.32
2599,0.60
2600,0.62
2601,0.64
2602,0.61
2603,0.61
2604,0.56
2605,0.60
2606,0.64
2607,0.63
2608,0.58
2609,0.61
2610,0.58
2611,0.68
2612,0.58
2613,0.55
2614,0.61
2615,0.62
2617,0.70
2618,0.41
2619,0.63
2620,0.69
2621,0.67
2622,0.67
2623,0.67
2624,0.64
2625,0.65
2626,0.59
2627,0.57
2628,0.67
2629,0.72
2630,0.72
2631,0.65
2632,0.67
2633,0.60
2634,0.69
2635,0.63
2636,0.60
2637,0.63
2638,0.69
2639,0.70
2640,0.60
2641,0.59
2642,0.63
2643,0.63
2644,0.70
2645,0.66
2646,0.63
2647,0.64
2665,0.61
2666,0.60
2667,0.60
2670,0.61
2671,0.62
2672,0.74
2674,0.45
2675,0.50
2676,0.54
2677,0.41
2678,0.47
2679,0.36
2680,0.47
2681,0.40
2682,0.53
2683,0.59
